Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
string,time,discrete,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,continuous,discrete,continuous,continuous,discrete
meta title=True,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
"Hoje é sexta feira dia de maldade dia de colocar quatro halls preto na boca e tomar coca cola direto do litro, dia de comer maionese estragada, dia de cortar giro na frente da PM SEXTA TEM UMA AUREA DIFERENTE",2020-10-30 18:38:17,pt,,4.0,0.0,,Bruno Lenzi,madness is part of the talent!,8287.0,983.0,298.0,227.0,0.0,False,,,@_BrunoLenzi
"@BrunoEnglerDM @alesilva_38 É impressão minha ou o ar dos apoiadores do Bruno transmite leveza, tranquilidade, vida, respeito...

Vcs já viram a foto que o Kalil está usando na campanha? Meu Deus, que coisa medonha!

Não só pelas falas, até a foto dele parece que é pra botar terror!

https://t.co/61LNa4QsoT",2020-10-30 18:36:44,pt,,65.0,10.0,@BrunoEnglerDM,Uner Augusto #28088 - BH,🇧🇷Candidato a Vereador em Belo Horizonte | MOVA Brasil: Movimento de Valores pelo Brasil https://t.co/pC5te2e0eq,860.0,5064.0,126.0,243.0,1.0,False,,,@UnerAugusto
"Alexandre Kalil é um CRIMINOSO, a Prefeitura de Belo Horizonte foi tomada de assalto. Kalil implantou o mensalão de BH e já está interferindo no Estado. Minas Gerais está se ""Bolivariando"". A tradicional FAMÍLIA mineira está sendo invadida pela libertinagem ESQUERDOPATA. https://t.co/ZV7v737fx5",2020-10-30 18:36:36,pt,,2.0,0.0,,Luiz Alves de Lima e Silva,"Patriota verdadeiro, morrer pelo Brasil e lutar por Justiça é a nobreza que me coloca erguido. O crer em Deus é para mim o motivo de minha existência.",6393.0,8295.0,1445.0,1401.0,0.0,False,,,@LuizAlvesdeLim5
"quão padraozinho vc é?

- cabelo liso: ❌
- olho claro: ✅
- iphone: ❌
- grupo no wpp com os melhores amigos: ✅
- psicológico bom: ❌✅
- nunca sofreu bullying:❌
- se dá bem com a família:✅❌
- tem autoestima boa: ❌✅
- já repetiu de ano: ❌ https://t.co/bmWXoOp00f",2020-10-30 18:35:19,pt,,0.0,0.0,,🌹U.N.I.C.O.R.N.A🌹,"╭∩╮(ಠ_ಠ)╭∩╮






























































˙˙˙ᴉnbɐ ɹɐɔoloɔ ǝnb o ᴉǝs u


































075𓆉︎027
🌹",1856.0,5825.0,115.0,160.0,0.0,False,,,@aurea_argoloo
@hennyaraujo A áurea até volta a brilhar mais!,2020-10-30 18:34:50,pt,,1.0,0.0,@hennyaraujo,é daphynny,"📚 Publicitária, Fotógrafa e Designer Gráfico.
Faço vídeos.
25k no YouTube🎥 🎭✨
insta: @daphynnypl",4376.0,2284.0,221.0,172.0,0.0,False,,,@eupamplona
"@Lorem_Saturno bem detalhado p um gestual, 
msm assim muito bonito parabéns",2020-10-30 18:33:53,pt,,0.0,0.0,@Lorem_Saturno,ˀ „ k a l i l . . . ♡°୭,".15 anos 
.ela/dela",1806.0,8446.0,528.0,325.0,3.0,False,,,@Kill_Kalil_0
Discordo da visão do Kalil e do @joaovitorxavier . Esvaziar a Pampulha será um gasto de dinheiro gritante e uma agressão gratuita ao ecossistema que existe ali. https://t.co/AfhW4Sq17E,2020-10-30 18:33:48,pt,,0.0,0.0,,Dr. Raposo,Nesse perfil defendemos que o @Cruzeiro se torne um clube empresa. Não gostou? Morde as costas!,1078.0,79.0,110.0,822.0,2.0,False,,,@Raposocelestini
@o_antagonista Covas e Boulos. Paes e Martha Rocha.,2020-10-30 18:29:33,pt,,0.0,0.0,@o_antagonista,Jose Kalil 🇧🇷🇱🇧 😷,Relações Internacionais e Comércio Exterior. Culturas e viagens.,312.0,12058.0,556.0,54.0,0.0,False,,,@kalil_jose
@Falagalo13 Com certeza alguém implantado por Kalil,2020-10-30 18:27:22,pt,,0.0,0.0,@Falagalo13,binho ramos,yes we can,1.0,28.0,34.0,3.0,0.0,False,,,@binhoramos144
"@mariakpaiva @otempo Amigo... esse papo de que o kalil trancou tudo não cola.
Somos a capital com menor número de mortes por 100 mil habitantes. E não foi porque Jesus gosta dos belorizontinos. 

Acho que isso é o mais importante quando se passa por uma pandemia.",2020-10-30 18:27:01,pt,,7.0,0.0,@mariakpaiva,Gustavo,atleticano esquerdista,977.0,2625.0,44.0,12.0,0.0,False,,,@Gustavo82299066
@kalil_a29 @zoldyck_killu @rTerraria Coruja é uma pomba só que da noite,2020-10-30 18:26:38,pt,,1.0,0.0,@kalil_a29,"Love, Davy ✨","Provavelmente ansioso demais enquanto voa com medo de tocar no chão. Tentando ver o pirata que estica. 

Ele/Dele.",4187.0,11799.0,87.0,59.0,0.0,False,,,@Shikarinho
Bora BH votar no Bruno Engler. https://t.co/PEcGWM9ads,2020-10-30 18:25:33,pt,BR,2.0,0.0,,Jorge Luiz Coelho,"força, fé e foco
🙏🙏 ESPIRITA KARDECISTA.     SDV em todos que me seguirem",20332.0,19354.0,5221.0,5057.0,1.0,False,,,@JorgeLuizCoelh9
